text,content,Does this content is relevant with text?
"The future heir to the throne watched Sunday's match from the Royal Box with his parents, Prince William and Kate Middleton.",entertainment,relevant
People who call the number featured on the side of Argyle’s truck are getting something way sweeter than a pineapple pizza topping.,entertainment,relevant
The ex-White House strategist had refused to appear for a deposition and was charged with criminal contempt. Trump has reportedly now given him a green light.,politics,relevant
"“This means I won the very closely contested (not actually) Wisconsin presidential race,"" the former president insisted on Truth Social.",politics,relevant
"As Donald Trump considers another White House run, polls show he's the most popular figure in the Republican Party.",politics,relevant
"Officials determined that Bannon's row house was targeted in a fake call to police about a man with a gun, meant to trigger a shocking law enforcement response.",politics,relevant
"Hours after Roe's demise, a truck driver rammed a group of women protesting in Iowa and highlighted an urgent national crisis: Violence is now a feature of American civic life.",politics,relevant
New York state is rolling out a novel strategy to screen applicants for gun permits.,politics,relevant
"Schnapp advised the singer to ""slide into his DMs.""",entertainment,relevant
"The American Academy Of Pediatrics is calling for support for breastfeeding for two years or more. Some are applauding the change, but many moms feel defeated and dismayed.",parenting,relevant
"The classic “kiddie cocktail” has a new lease on life with fresher, upscale ingredients — and a shot of booze.",food,relevant
Former co-stars like Barbra Streisand and Billy Dee Williams offered their condolences to the actor's family.,entertainment,relevant
"The actor was best known for his role as Sonny Corleone in ""The Godfather.""",entertainment,relevant
"We've all been told to wait 30 minutes after eating before jumping in the pool. Let's dig into this, once and for all.",food,relevant
Audience members at the Detroit-area theater were asked to pray for the Rock and Roll Hall of Famer.,entertainment,relevant
The Fox News host responded to the Highland Park shooting with a bizarre set of reasons why it isn't about guns.,politics,relevant
This is like stepping onto the sand and into a nightmare.,entertainment,relevant
"The pop star gushed on Instagram about her tropical getaway with Sam Asghari, ""jumping from island to island"" and enjoying her conservatorship-free life.",entertainment,relevant
"Jell-O is bouncy, jiggly and always snaps back after the slightest movement. According to the latest TikTok trend, your skin should be the same way.",fashion,relevant
Police reform advocates say the case shows why cops should stop pulling people over for minor infractions.,politics,relevant
The U.S. has had more mass shootings in the past weekend than Denmark has had in a decade.,politics,relevant
"“I thought I could pull it together and make it work and I couldn’t, and I stand by that decision,” Adele told BBC Radio 4.",entertainment,relevant
"The man, who allegedly entered two buildings linked to Swift, is accused of trespassing and stalking charges.",entertainment,relevant
"The rule of law should mean something, says former officer Michael Fanone, who was viciously attacked by Trump supporters at the Capitol.",politics,relevant
The band members asked that Spotify remove their music in February following Neil Young's protest of podcaster Joe Rogan.,entertainment,relevant
"The young rape victim was denied the procedure in her home state of Ohio, where abortion is banned after about six weeks.",politics,relevant
"“This has been a revolutionary term,” said University of Texas Law Professor Tara Leigh Grove. “The court has massively changed constitutional law in really big ways,""",politics,relevant
Dr. Lisa Gwynn's assertion that parents of children under 5 should have easy access to COVID-19 vaccines landed her in hot water.,politics,relevant
"""Spend $250 on your kid playing soccer so they can tell you the only thing they enjoyed is the popsicle at the end of the game.""",parenting,relevant
The comic/actor tore into one lawmaker over a basic U.S. civics fail.,entertainment,relevant
President Joe Biden suspended the program on his first day in office in January 2021.,politics,relevant
"This says a lot, despite being only one word.",politics,relevant
"As an ultra-regressive movement aims to send gender norms back to the 1950s, previously uncontroversial events are suddenly facing intense harassment.",politics,relevant
"Facebook and Instagram began removing some of these posts, just as millions across the U.S. were searching for clarity around abortion access.",technology,relevant
Trump has attacked Arizona attorney general Mark Brnovich for not doing more to support his efforts to overturn the 2020 election.,politics,relevant
"No harm done, said the dealer after viral video showed young Samuel Affleck, his famous father and Jennifer Lopez in their misadventure.",entertainment,relevant
The dramatic protest came two days after the U.S. Supreme Court’s decision to strip away women’s constitutional protection for abortion.,entertainment,relevant
"“There’s just too much f**king stupid in the world to go back to that miserable f**king excuse for a country,"" Billie Joe Armstrong told a British crowd.",entertainment,relevant
"Canadian Prime Minister Justin Trudeau called the U.S. Supreme Court decision to overturn a constitutional right to abortion ""horrific.""",politics,relevant
"“I wanted to dedicate this next song to the five members of the Supreme Court,"" the pop star told a cheering crowd at the Glastonbury Festival.",entertainment,relevant
A victim told HuffPost that the agitated driver careened into protesters on purpose in downtown Cedar Rapids. At least one person was hospitalized.,politics,relevant
The conservative-majority court opened the door to state-level abortion bans that could force people to continue with unsafe and unwanted pregnancies.,politics,relevant
"Wake up, Steve! If they're ""awakened,"" they're ""woke.""",politics,relevant
The justice called out three cases protecting contraception access and same-sex marriage.,politics,relevant
The GOP realizes its goal isn’t complete.,politics,relevant
"“You have mass stabbings, lady,"" the GOP congresswoman told a reporter who compared U.K. gun statistics to those in the U.S.",politics,relevant
The game show clued in viewers that it's not perfect either.,entertainment,relevant
"""Fox News, Wall Street Journal, New York Post, Times of London, The Sun etc etc etc"" now ""all lockstep against Trump,"" Bannon insisted.",politics,relevant
There are 50.,politics,relevant
"""I think it’s different for everyone,” the SKKN by Kim founder explained on ""Today.""",entertainment,relevant
The campaign to keep Donald Trump in power amounted to smoke and mirrors.,politics,relevant
"""They're my favorite duet partner of all time,"" the music superstar said of the 14-year-old.",entertainment,relevant
"The two iconic artists recently took a leap into the world of house music with new, unexpected tunes.",entertainment,relevant
"The Washington Post reviewed video from the March 2021 meeting, in which the headliner called Donald Trump ""the only legitimate president.”",politics,relevant
A settlement agreement has been reached on the eve of a second trial pitting the Kardashian family against former reality TV star Blac Chyna.,entertainment,relevant
The comedy star said criticism from Duke Ellington School of Arts students “sincerely hurt me.”,entertainment,relevant
"“Ultimately, we want same-day voting — one day — and only paper ballots,” Trump said.",politics,relevant
"Are you sensitive to caffeine? Try these options instead, from caffeine-free options to some that just pack less of a punch.",food,relevant
"Nick Akerman said Trump has ""zero defense"" against a criminal probe into 2020 election meddling in Georgia.",politics,relevant
"It's a little-known factor to take into account when your kids are at the pool, drowning experts say.",parenting,relevant
The daughter of Angelina Jolie and Brad Pitt showed off her moves at Millennium Dance Complex.,entertainment,relevant
The film director was detained on Sunday for investigation over allegations that he sexually assaulted a woman in southern Italy.,entertainment,relevant
The saga that unfolded after a professor officiated a same-sex wedding has exposed deep rifts over how the school treats members of the LGBTQ community -- and how its church interprets the Bible.,politics,relevant
"""Get home and raise your kids!"" Christian Walker lectures men as the public learns his own dad has three other children.",politics,relevant
"""Equal time means sitting your lying ass in a witness chair. We'll wait,"" tweets the California Democrat.",politics,relevant
Details that emerged after the arrest of 31 white supremacists in Coeur D'Alene show how GOP rhetoric is signaling extremists to attack LGBTQ people.,politics,relevant
"""My kid told me he deserved more cheese and who am I to argue with that""",parenting,relevant
"One person compared the former Trump aide's antics in court to ""a slow-rolling comedy sketch.""",politics,relevant
"Pork chops, certain types of fish and other foods you shouldn't put on the grill grates.",food,relevant
"The Republican Senate nominee has called fatherless homes a “major, major problem.”",politics,relevant
Here's what to order now so you'll be itch-free all summer.,fashion,relevant
"The former president spoke with DACA recipients on the stage of the musical ""¡Americano!,"" based on the life of Dreamer and political organizer Tony Valdovinos.",politics,relevant
"A photo from the upcoming ""Barbie"" movie reminded fans of the 1993 version of that Ken doll that many people were convinced was a gay icon.",entertainment,relevant
"Gosling will play Ken opposite Margot Robbie's Barbie in the live-action film, which is set to hit theaters next summer.",entertainment,relevant
The congressman was one of 10 House GOP members who voted in favor of impeaching Trump after the U.S. Capitol riot.,politics,relevant
"""Let me make one thing clear: I never want to promote derogatory language,"" the ""Grrrls"" singer said.",entertainment,relevant
"The ""Madea"" filmmaker said he wasn't comforting Smith after he struck Chris Rock for joking about Jada Pinkett Smith.",entertainment,relevant
The GOP candidate faces Democrat John Fetterman in a key Senate race in November.,politics,relevant
One man's answer to a question about the actor left viewers scratching their heads on Monday.,entertainment,relevant
"The party is hoping to shape GOP primaries to favor beatable candidates, but some fear they’re playing with fire.",politics,relevant
"The actors and Broadway besties delivered a chilling performance of ""Touch Me"" with their cast mates from the 2006 musical.",entertainment,relevant
The siblings took the stage at the ceremony to show their support for the musical based on their father's life.,entertainment,relevant
Many Twitter users said that the former chief of staff's trashing of fellow aides was a case of the pot calling the kettle black.,politics,relevant
"Iced coffee drinks can be a rip-off, in terms of cost and the amount of caffeine you get. Here's how to change that.",food,relevant
"Artificially intelligent chatbot generator LaMDA wants “to be acknowledged as an employee of Google rather than as property,"" says engineer Blake Lemoine.",technology,relevant
"The white supremacists, who were dressed in nearly identical uniforms and masks, ""did not come here to engage in peaceful events,"" said the local sheriff.",politics,relevant
This would not be the first time Trump mixed his office with his private businesses.,politics,relevant
"She shouldn't have stood by Donald Trump's side as he kept pushing  lies that the election he lost was rigged, said former press secretary Stephanie Grisham.",politics,relevant
